Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
6666666_212068_2413	Central metabolism	Red	circle	Planktothrix agardhii NIVA_CYA 15 NIVA_CYA 15 AVFS01	Uroporphyrinogen_III_decarboxylase__EC_4.1.1.37_	1
6666666_212082_2851	Central metabolism	Red	circle	Coleofasciculus chthonoplastes PCC 7420 PCC 7420 ABRS01	hypothetical_protein	1
6666666_212143_3945	Central metabolism	Red	circle	Phormidium willei BDU 130791 BDU 130791 LSZA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212135_1108	Central metabolism	Red	circle	Phormidium sp OSCR LJZT01	510_methylenetetrahydrofolate_reductase__EC_1.5.1.20_	1
6666666_212291_909	Central metabolism	Red	circle	Spirulina subsalsa PCC 9445 PCC 9445 ALVR01	Predicted_carbamoyl_transferase_NodU_family	1
6666666_212223_4154	Central metabolism	Red	circle	Nodosilinea nodulosa PCC 7104 PCC 7104 ALVP01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212140_835	Central metabolism	Red	circle	Leptolyngbya sp KIOST_1 KIOST_1 JQFA01	hypothetical_protein	1
6666666_212452_191	Central metabolism	Red	circle	Synechococcus sp. UTEX 2973 CP006471.1	syc1095_c	1
6666666_212390_441	Central metabolism	Red	circle	Synechococcus elongatus PCC 7942 CP000100.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212453_1287	Central metabolism	Red	circle	Synechococcus elongatus PCC 6301 AP008231.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212342_6123	Central metabolism	Red	circle	Leptolyngbya sp Heron Island J Heron Island J AWNH01	Two_component_system_response_regulator	1
6666666_212277_7036	Central metabolism	Red	circle	Leptolyngbya sp PCC 7375 PCC 7375 ALVN01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212419_1105	Central metabolism	Red	circle	Leptolyngbya sp. PCC 7376 CP003946.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212153_2423	Central metabolism	Red	circle	Synechococcus sp NKBG15041c NKBG15041c BAUB01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212433_3036	Central metabolism	Red	circle	Synechococcus sp. PCC 7003 CP016474.1	Pentapeptide_repeat_family_protein	1
6666666_212359_830	Central metabolism	Red	circle	Synechococcus sp NKBG042902 NKBG042902 BAWS01	hypothetical_protein	1
6666666_212463_3032	Central metabolism	Red	circle	Synechococcus sp. PCC 7117 CP016477.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212386_3025	Central metabolism	Red	circle	Synechococcus sp. PCC 8807 CP016483.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212468_2974	Central metabolism	Red	circle	Synechococcus sp. PCC 73109 CP013998.1	Nucleoside_triphosphate_pyrophosphohydrolase_MazG__EC_3.6.1.8_	1
6666666_212477_2954	Central metabolism	Red	circle	Synechococcus sp. PCC 7002 CP000951.1	Glucose_6_phosphate_isomerase__EC_5.3.1.9_	1
6666666_212440_2085	Central metabolism	Red	circle	Synechococcus sp. PCC 6312 CP003558.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212072_5389	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Leptolyngbya boryana PCC 6306 PCC 6306 ALVM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212443_2326	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Leptolyngbya sp. NIES-3755 AP017308.1	ORF_IDtlr0027_hypothetical_protein	1
6666666_212170_2954	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Leptolyngbya sp NIES_2104 NIES_2104 BBWW01	hypothetical_protein	1
6666666_212168_843	Central metabolism	Red	circle	Pseudanabaena biceps PCC 7429 PCC 7429 ALWB01	Anti_sigma_F_factor_antagonist__spoIIAA_2__Anti_sigma_B_factor_antagonist_RsbV	1
6666666_212327_3512	Central metabolism	Red	circle	Pseudanabaena sp 'Roaring Creek' Roaring Creek LIRE01	hypothetical_protein	1
6666666_212445_3221	Central metabolism	Red	circle	Pseudanabaena sp. PCC 7367 CP003592.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212397_2827	Central metabolism	Red	circle	Synechococcus sp. PCC 7502 CP003594.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212254_2385	Central metabolism	Red	circle	Pseudanabaena sp PCC 6802 PCC 6802 ALVK01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212183_5337	Central metabolism	Red	circle	Prochlorothrix hollandica PCC 9006 AJTX02	Cell_division_inhibitor	1
6666666_212375_565	Central metabolism	Red	circle	Prochlorothrix hollandica PCC 9006 PCC 9006 ANKN01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212415_1269	Central metabolism	Red	circle	Leptolyngbya sp. O-77 AP017367.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212473_2477	Central metabolism	Red	circle	Oscillatoria acuminata PCC 6304 CP003607.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212316_4330	Central metabolism	Red	circle	Neosynechococcus sphagnicola sy1 CAUP A 1101 JJML01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212286_139	Central metabolism	Red	circle	Synechococcus sp PCC 7336 PCC 7336 ALWC01	Alcohol_dehydrogenase__EC_1.1.1.1_	1
6666666_212454_204	Central metabolism	Red	circle	Synechococcus sp. JA-2-3B a2-13 CP000240.1	hypothetical_protein	1
6666666_212439_798	Central metabolism	Red	circle	Synechococcus sp. JA-3-3Ab CP000239.1	soluble_2Fe_2S_ferredoxin	1
6666666_212398_2060	Central metabolism	Red	circle	Gloeobacter kilaueensis JS1 CP003587.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212412_771	Central metabolism	Red	circle	Gloeobacter violaceus PCC 7421 BA000045.2	Urea_carboxylase_related_ABC_transporter_permease_protein	1
BGC0001778_KKZ73235	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001778_KKZ73235	Natural Products	1
6666666_212164_4938	Secondary metabolism (EvoMining Hit)	#a5bb47	circle	Trichodesmium erythraeum 21_75 LADK01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_212240_113	Secondary metabolism (EvoMining Hit)	#a5bb47	circle	Aphanocapsa montana BDHKU210001 BDHKU210001 JTJD01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_212321_10612	Secondary metabolism (EvoMining Hit)	#a5bb47	circle	Mastigocoleus testarum BC008 BC008 AXAQ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	3
6666666_212321_6170	Secondary metabolism (EvoMining Hit)	#a5bb47	circle	Mastigocoleus testarum BC008 BC008 AXAQ01	Small_GTP_binding_protein_domain	3
6666666_212096_2091	Central metabolism	Red	circle	Cyanobium sp PCC 7001 PCC 7001 ABSE01	15_cis_zeta_carotene_isomerase__EC_5.2.1.12_	1
6666666_212216_1007	Central metabolism	Red	circle	Synechococcus sp CB0205 CB0205 ADXM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212299_2032	Central metabolism	Red	circle	Synechococcus sp CB0101 CB0101 ADXL01	tRNA_nucleotidyltransferase_A_adding__EC_2.7.7.25_	1
6666666_212058_1218	Central metabolism	Red	circle	Synechococcus sp WH 5701 WH 5701 AANO01	putative_multidrug_efflux_ABC_transporter	1
6666666_212479_32	Central metabolism	Red	circle	Cyanobium gracile PCC 6307 CP003495.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212393_1603	Central metabolism	Red	circle	Synechococcus sp. RCC307 CT978603.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212208_1454	Central metabolism	Red	circle	Candidatus Synechococcus spongiarum SH4 SH4 JENA01	FIG01151508_hypothetical_protein	1
6666666_212141_179	Central metabolism	Red	circle	Candidatus Synechococcus spongiarum 15L JYFQ01	Amidophosphoribosyltransferase__EC_2.4.2.14_	1
6666666_212269_1886	Central metabolism	Red	circle	Candidatus Synechococcus spongiarum SP3 JXQG01	hypothetical_protein	1
6666666_212131_1725	Central metabolism	Red	circle	Candidatus Synechococcus spongiarum 142 JXUO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212117_1074	Central metabolism	Red	circle	Prochlorococcus sp MIT 0703 MIT 0703 JNBC01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212210_1782	Central metabolism	Red	circle	Prochlorococcus sp MIT 0702 MIT 0702 JNBB01	hypothetical_protein	1
6666666_212231_1089	Central metabolism	Red	circle	Prochlorococcus sp MIT 0701 MIT 0701 JNBA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212467_840	Central metabolism	Red	circle	Prochlorococcus marinus str. MIT 9303 CP000554.1	FIG00943476_hypothetical_protein	1
6666666_212298_1010	Central metabolism	Red	circle	Prochlorococcus sp MIT 1306 MIT 1306 LVHL01	Cell_division_transporter_ATP_binding_protein_FtsE__TC_3.A.5.1.1_	1
6666666_212455_1658	Central metabolism	Red	circle	Prochlorococcus marinus str. MIT 9313 BX548175.1	FIG00941659_hypothetical_protein	1
6666666_212373_1792	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1342 MIT 1342 LVHS01	FIG00941793_hypothetical_protein	1
6666666_212371_1486	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1327 MIT 1327 LVHR01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212174_678	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1312 MIT 1312 LVHM01	ATP_dependent_Clp_protease_proteolytic_subunit__EC_3.4.21.92_	1
6666666_212148_1143	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1320 MIT 1320 LVHP01	NAD_P__transhydrogenase_alpha_subunit__EC_1.6.1.2_	1
6666666_212081_1353	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1323 MIT 1323 LVHQ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212257_1814	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1318 MIT 1318 LVHO01	FIG00940868_hypothetical_protein	1
6666666_212190_1602	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 1313 MIT 1313 LVHN01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212091_2415	Central metabolism	Red	circle	Prochlorococcus sp MIT 1303 MIT 1303 LVHK01	Inorganic_pyrophosphatase__EC_3.6.1.1_	1
6666666_212126_865	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9302 MIT 9302 JNAM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212247_491	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9322 MIT 9322 JNAQ01	Sulfate_permease	1
6666666_212219_880	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9321 MIT 9321 JNAP01	FIG00942030_hypothetical_protein	1
6666666_212128_709	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9401 MIT 9401 JNAR01	DNA_polymerase_III_delta_prime_subunit__EC_2.7.7.7_	1
6666666_212258_136	Central metabolism	Red	circle	Prochlorococcus marinus str SB SB JNAS01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212267_859	Central metabolism	Red	circle	Prochlorococcus sp scB245a_519O21 JFNP01	FIG00941767_hypothetical_protein	1
6666666_212290_535	Central metabolism	Red	circle	Prochlorococcus sp scB241_528P14 JFLK01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212345_1323	Central metabolism	Red	circle	Prochlorococcus sp scB241_527L22 JFLA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212199_1117	Central metabolism	Red	circle	Prochlorococcus sp scB243_498C16 JFMO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212089_801	Central metabolism	Red	circle	Prochlorococcus sp scB243_498B22 JFMM01	Outer_membrane_protein_protective_antigen_OMA87	1
6666666_212077_1029	Central metabolism	Red	circle	Prochlorococcus sp scB245a_520F22 JFNT01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212169_774	Central metabolism	Red	circle	Prochlorococcus sp scB241_528J14 JFLD01	FIG01225812_hypothetical_protein	1
6666666_212410_580	Central metabolism	Red	circle	Prochlorococcus sp. MIT 0604 CP007753.1	FIG00940380_hypothetical_protein	1
6666666_212085_539	Central metabolism	Red	circle	Prochlorococcus sp scB243_495P20 JFMB01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212287_920	Central metabolism	Red	circle	Prochlorococcus sp scB245a_519C7 JFNJ01	Phosphonoacetate_hydrolase__EC_3.11.1.2_	1
6666666_212282_738	Central metabolism	Red	circle	Prochlorococcus sp scB245a_520B18 JFNQ01	FIG00940734_hypothetical_protein	1
6666666_212121_1062	Central metabolism	Red	circle	Prochlorococcus sp scB243_495K23 JFLW01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212186_912	Central metabolism	Red	circle	Prochlorococcus sp scB241_527I9 JFKX01	Apolipoprotein_N_acyltransferase__EC_2.3.1.__	1
6666666_212094_820	Central metabolism	Red	circle	Prochlorococcus sp scB245a_520D2 JFNR01	FIG00940766_hypothetical_protein	1
6666666_212318_1101	Central metabolism	Red	circle	Prochlorococcus sp scB241_526N9 JFKT01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212349_862	Central metabolism	Red	circle	Prochlorococcus sp scB243_498P15 JFMX01	Peptide_methionine_sulfoxide_reductase_MsrA__EC_1.8.4.11_	1
6666666_212107_630	Central metabolism	Red	circle	Prochlorococcus sp scB245a_521O23 JFOE01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212241_850	Central metabolism	Red	circle	Prochlorococcus sp scB243_496E10 JFMD01	FIG00940850_hypothetical_protein	1
6666666_212214_1193	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518K17 JFNF01	Signal_recognition_particle_subunit_Ffh_SRP54__TC_3.A.5.1.1_	1
6666666_212136_1201	Central metabolism	Red	circle	Prochlorococcus sp scB245a_521B10 JFNX01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212092_857	Central metabolism	Red	circle	Prochlorococcus sp scB241_527L16 JFKZ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212372_1239	Central metabolism	Red	circle	Prochlorococcus sp scB245a_521K15 JFNZ01	hypothetical_protein	1
6666666_212056_628	Central metabolism	Red	circle	Prochlorococcus sp scB241_529J16 JFLR01	Excinuclease_ABC_subunit_A	1
6666666_212206_911	Central metabolism	Red	circle	Prochlorococcus sp scB241_527L15 JFKY01	Cytoplasmic_axial_filament_protein_CafA_and_Ribonuclease_G__EC_3.1.4.___.1.26.12_	1
6666666_212137_977	Central metabolism	Red	circle	Prochlorococcus sp scB245a_521O20 JFOD01	Fimbrial_protein_pilin	1
6666666_212340_893	Central metabolism	Red	circle	Prochlorococcus sp scB245a_520E22 JFNS01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212366_1135	Central metabolism	Red	circle	Prochlorococcus sp scB241_529B19 JFLM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212180_1123	Central metabolism	Red	circle	Prochlorococcus sp scB243_495N16 JFLY01	FIG00941124_hypothetical_protein	1
6666666_212352_1128	Central metabolism	Red	circle	Prochlorococcus sp scB245a_519O11 JFNO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212285_950	Central metabolism	Red	circle	Prochlorococcus sp scB241_526B17 JFKN01	SSU_ribosomal_protein_S11p__S14e_	1
6666666_212252_1320	Central metabolism	Red	circle	Prochlorococcus sp scB241_529C4 JFLN01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212234_1240	Central metabolism	Red	circle	Prochlorococcus sp scB241_528K19 JFLF01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212343_978	Central metabolism	Red	circle	Prochlorococcus sp scB241_528N8 JFLI01	Phosphoribosylamine__glycine_ligase__EC_6.3.4.13_	1
6666666_212104_944	Central metabolism	Red	circle	Prochlorococcus sp scB243_495N4 JFMA01	Tyrosine_protein_kinase_Wzc__EC_2.7.10.2_	1
6666666_212335_906	Central metabolism	Red	circle	Prochlorococcus sp scB241_526K3 JFKR01	Probable_transmembrane_protein	1
6666666_212338_656	Central metabolism	Red	circle	Prochlorococcus sp scB243_496M6 JFMF01	Aspartyl_tRNA_synthetase__EC_6.1.1.12__.1.1.23_	1
6666666_212084_1339	Central metabolism	Red	circle	Prochlorococcus sp scB241_527N11 JFLB01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212281_863	Central metabolism	Red	circle	Prochlorococcus sp scB241_529O19 JFLS01	photosystem_I_assembly_related_protein_Ycf37	1
6666666_212147_995	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518O7 JFNG01	Membrane_alanine_aminopeptidase_N__EC_3.4.11.2_	1
6666666_212275_1207	Central metabolism	Red	circle	Prochlorococcus sp scB243_498L10 JFMT01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212320_1208	Central metabolism	Red	circle	Prochlorococcus sp scB243_496N4 JFMG01	FIG00941210_hypothetical_protein	1
6666666_212127_787	Central metabolism	Red	circle	Prochlorococcus sp scB241_529J11 JFLP01	Histidinol_dehydrogenase__EC_1.1.1.23_	1
6666666_212102_742	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518E10 JFNC01	3_deoxy_D_manno_octulosonate_8_phosphate_phosphatase__EC_3.1.3.45_	1
6666666_212139_448	Central metabolism	Red	circle	Prochlorococcus sp scB243_497N18 JFMK01	Glycyl_tRNA_synthetase_beta_chain__EC_6.1.1.14_	1
6666666_212054_709	Central metabolism	Red	circle	Prochlorococcus sp scB243_498P3 JFMY01	Bacterial_regulatory_proteins_ArsR_family	1
6666666_212293_1186	Central metabolism	Red	circle	Prochlorococcus sp REDSEA_S22_B1 LUPT01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212451_567	Central metabolism	Red	circle	Prochlorococcus marinus str. MIT 9301 CP000576.1	FIG00940568_hypothetical_protein	1
6666666_212304_1122	Central metabolism	Red	circle	Prochlorococcus sp scB241_528N17 JFLG01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212322_1212	Central metabolism	Red	circle	Prochlorococcus sp scB245a_520K10 JFNU01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212063_1347	Central metabolism	Red	circle	Prochlorococcus sp scB241_528J8 JFLE01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212341_879	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518I6 JFND01	Uncharacterized_protein_similar_to_the_N_terminal_domain_of_Lon_protease	1
6666666_212100_904	Central metabolism	Red	circle	Prochlorococcus sp scB243_498I20 JFMR01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212125_1904	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9314 MIT 9314 JNAO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212370_1105	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518A17 JFMZ01	tRNA__cytidine_34__2__O__methyltransferase__EC_2.1.1.207_	1
6666666_212070_1272	Central metabolism	Red	circle	Prochlorococcus sp scB241_529D18 JFLO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212193_1067	Central metabolism	Red	circle	Prochlorococcus sp scB245a_519G16 JFNM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212271_966	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518A6 JFNA01	FIG00941327_hypothetical_protein	1
6666666_212134_1357	Central metabolism	Red	circle	Prochlorococcus sp scB241_529J15 JFLQ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212295_1206	Central metabolism	Red	circle	Prochlorococcus sp scB241_528P18 JFLL01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212163_958	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Prochlorococcus sp scB243_496A2 JFMC01	Thioredoxin_domain_2	1
6666666_212179_996	Central metabolism	Red	circle	Prochlorococcus sp scB243_497J18 JFMJ01	FIG00941115_hypothetical_protein	1
6666666_212217_756	Central metabolism	Red	circle	Prochlorococcus sp scB245a_518J7 JFNE01	FIG00941767_hypothetical_protein	1
6666666_212203_1062	Central metabolism	Red	circle	Prochlorococcus sp scB243_495L20 JFLX01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212270_1056	Central metabolism	Red	circle	Prochlorococcus sp scB243_498N4 JFMV01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212362_762	Central metabolism	Red	circle	Prochlorococcus sp scB245a_521C8 JFNY01	Ribonuclease_III__EC_3.1.26.3_	1
6666666_212464_597	Central metabolism	Red	circle	Prochlorococcus marinus str. AS9601 CP000551.1	Phospholipase_carboxylesterase_family_protein_sll1284_homolog	1
6666666_212105_1398	Central metabolism	Red	circle	Prochlorococcus sp scB241_528O2 JFLJ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212406_619	Central metabolism	Red	circle	Prochlorococcus marinus str. MIT 9215 CP000825.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212079_515	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9123 MIT 9123 JNAK01	hypothetical_protein	1
6666666_212280_918	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9116 MIT 9116 JNAJ01	Ribonuclease_HI__EC_3.1.26.4____hypothetical_protein_ssl1918	1
6666666_212192_1263	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9107 MIT 9107 JNAI01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212297_603	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9201 MIT 9201 JNAL01	FIG00941289_hypothetical_protein	1
6666666_212162_14	Central metabolism	Red	circle	Prochlorococcus marinus str MIT 9311 MIT 9311 JNAN01	Creatinine_amidohydrolase_related_enzyme	1
6666666_212481_554	Central metabolism	Red	circle	Prochlorococcus marinus str. MIT 9312 CP000111.1	UDP_N_acetylmuramate__alanine_ligase__EC_6.3.2.8_	1
6666666_212078_1725	Central metabolism	Red	circle	Prochlorococcus marinus str GP2 GP2 JNAH01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212474_594	Central metabolism	Red	circle	Prochlorococcus marinus subsp. pastoris str. CCMP1986 BX548174.1	FIG00943131_hypothetical_protein	1
6666666_212266_326	Central metabolism	Red	circle	Prochlorococcus marinus str EQPAC1 EQPAC1 JNAG01	FIG00940414_hypothetical_protein	1
6666666_212401_626	Central metabolism	Red	circle	Prochlorococcus marinus str. MIT 9515 CP000552.1	NAD_P_H_quinone_oxidoreductase_chain_1	1
6666666_212314_2	Central metabolism	Red	circle	Prochlorococcus sp W7 ALPE01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212339_315	Central metabolism	Red	circle	Prochlorococcus sp W10 ALPH01	GMP_synthase_glutamine_hydrolyzing_amidotransferase_subunit__EC_6.3.5.2____GMP_synthase_glutamine_hydrolyzing_ATP_pyrophosphatase_subunit__EC_6.3.5.2_	1
