Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
6666666_210080_3720	Central metabolism	Red	circle	Methanosarcina mazei2.F.T.0.2 JJOT01	Eukaryotic_translation_initiation_factor_2_alpha_subunit	2
6666666_210257_2166	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.2.12 JJPD01	sensory_transduction_histidine_kinase	2
6666666_211522_3756	Central metabolism	Red	circle	Methanosarcina mazei C16 C16 CP009514.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210597_11	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.1A.2 JJQS01	predicted_protein	2
6666666_210343_2853	Central metabolism	Red	circle	Methanosarcina mazei3.F.T.1A.1 JJPI01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210499_2793	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.1A.6 JJQJ01	Beta_lysine_acetyltransferase_EC_2.3.1.__	2
6666666_210034_3432	Central metabolism	Red	circle	Methanosarcina mazei3.H.M.2.7 JJPX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210465_915	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.2.1 JJQK01	hypothetical_protein_multi_domain_	2
6666666_211548_3738	Central metabolism	Red	circle	Methanosarcina mazei LYC LYC CP009513.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210305_758	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.2.5 JJPQ01	DNA_directed_RNA_polymerase_subunit_D_EC_2.7.7.6_	2
6666666_210286_2739	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.2.6 JJPG01	hypothetical_protein	2
6666666_210565_2204	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.0.1 JJQQ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210481_1305	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.0.1 JJQF01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209968_2136	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.2.8 JJPS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210028_1022	Central metabolism	Red	circle	Methanosarcina mazei3.F.T.1A.4 JJPK01	Hydrolase_HAD_superfamily	2
6666666_210530_454	Central metabolism	Red	circle	Methanosarcina mazei2.F.A.2.3 JJOR01	carboxymuconolactone_decarboxylase	2
6666666_210617_2738	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.2.5 JJPF01	NiFe_hydrogenase_metallocenter_assembly_protein_HypC	2
6666666_209984_1475	Central metabolism	Red	circle	Methanosarcina mazei2.F.A.2.4 JJOS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210075_2921	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.2.1 JJPO01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209957_803	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.2.6 JJPR01	Coenzyme_F420_0L_glutamate_ligase_	2
6666666_210254_2901	Central metabolism	Red	circle	Methanosarcina mazei3.H.M.1B.5 JJPW01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210000_3352	Central metabolism	Red	circle	Methanosarcina mazei1.F.A.1A.3 JJQA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210086_2508	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.2.2 JJQV01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210307_3091	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.1A.1 JJPA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209946_2873	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.1A.3 JJQT01	predicted_protein	2
6666666_210242_235	Central metabolism	Red	circle	Methanosarcina mazei1.H.T.2.3 JJRA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210006_582	Central metabolism	Red	circle	Methanosarcina mazei3.F.T.2.1 JJPL01	Putative_glycogen_debranching_enzyme_archaeal_type_TIGR01561	2
6666666_210054_2252	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.2.3 JJPE01	predicted_protein	2
6666666_210010_1557	Central metabolism	Red	circle	Methanosarcina mazei1.F.A.1B.3 JJQB01	NAD_P_dependent_glyceraldehyde_3_phosphate_dehydrogenase_archaeal__EC_1.2.1.59_	2
6666666_210351_3512	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.1A.3 JJPB01	Probable_transcriptional_regulator	2
6666666_211654_1591	Central metabolism	Red	circle	Methanosarcina mazei Tuc01 Tuc01 CP004144.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209936_3044	Central metabolism	Red	circle	Methanosarcina mazei1.F.M.0.5 JJQE01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210144_194	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.2.3 JJQM01	Conserved_protein	2
6666666_210491_2984	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.1A.3 JJQH01	Response_regulator_receiver	2
6666666_210026_3480	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.2.7 JJPH01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210478_1104	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.1A.4 JJQI01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210268_1095	Central metabolism	Red	circle	Methanosarcina mazei1.F.A.2.8 JJQD01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210605_1091	Central metabolism	Red	circle	Methanosarcina mazei1.H.T.2.1 JJQZ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_212746_1690	Central metabolism	Red	circle	Methanosarcina mazei 3.H.M.1B.2 JJPV01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210517_2746	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.2.1 JJQU01	hypothetical_protein	2
6666666_210365_433	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.1A.1 JJQG01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210308_873	Central metabolism	Red	circle	Methanosarcina mazei3.H.M.1A.1 JJPT01	FKBP_type_peptidyl_prolyl_cis_trans_isomerase_SlyD_EC_5.2.1.8_	2
6666666_210263_3331	Central metabolism	Red	circle	Methanosarcina mazei3.H.T.1A.2 JJPZ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209976_2835	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.1A.1 JJPM01	hypothetical_protein	2
6666666_210078_3053	Central metabolism	Red	circle	Methanosarcina mazei3.F.T.1A.2 JJPJ01	hydrogenase_group_4_HycG_subunit_putative	2
6666666_210194_3385	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.2.4 JJQX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210077_404	Central metabolism	Red	circle	Methanosarcina mazei1.H.T.2.5 JJRB01	Uncharacterized_protein_MJ0440	2
6666666_210443_2404	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.2.8 JJQP01	hypothetical_protein	2
6666666_210615_237	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.1A.2 JJPN01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210179_2610	Central metabolism	Red	circle	Methanosarcina mazei3.F.A.1B.1 JJPC01	Putative_threonine_efflux_protein	2
6666666_210296_102	Central metabolism	Red	circle	Methanosarcina mazei3.H.A.2.4 JJPP01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211557_4600	Central metabolism	Red	circle	Methanosarcina horonobensis HB-1 = JCM 15518 HB-1 CP009516.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210276_3187	Central metabolism	Red	circle	Methanosarcina sp Ant1 MDTP01	Two_component_system_response_regulator	2
6666666_211571_255	Central metabolism	Red	circle	Methanosarcina siciliae C2J C2J CP009508.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211698_216	Central metabolism	Red	circle	Methanosarcina siciliae HI350 HI350 CP009507.1	Tetracycline_resistance_protein	2
6666666_211634_221	Central metabolism	Red	circle	Methanosarcina siciliae T4_M T4_M CP009506.1	Small_Subunit_Ribosomal_RNA_ssuRNA_SSU_rRNA	2
6666666_210142_2188	Central metabolism	Red	circle	Methanosarcina flavescensE03.2 LKAZ01	hypothetical_protein	2
6666666_209995_728	Central metabolism	Red	circle	Methanosarcina sp DTU009 LFRP01	hypothetical_protein	2
6666666_211573_923	Central metabolism	Red	circle	Methanosarcina sp 795 - CP011449.1	hypothetical_protein	2
6666666_211628_1501	Central metabolism	Red	circle	Methanosarcina thermophila CHTI-55 CHTI-55 CP009502.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211713_2339	Central metabolism	Red	circle	Methanosarcina thermophila TM-1 TM-1 CP009501.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211914_1527	Central metabolism	Red	circle	Methanosarcina barkeri str. Fusaro Fusaro CP000099.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211946_4093	Central metabolism	Red	circle	Methanosarcina barkeri str. Wiesmoor Wiesmoor CP009526.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211623_2590	Central metabolism	Red	circle	Methanosarcina barkeri 3 3 CP009517.1	Cysteine_desulfurase_EC_2.8.1.7_	2
6666666_211544_2802	Central metabolism	Red	circle	Methanosarcina barkeri CM1 CM1 CP008746.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210589_1459	Central metabolism	Red	circle	Methanosarcina barkeri JCM 10043JCM 10043 BBEF01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_211920_246	Central metabolism	Red	circle	Methanosarcina barkeri MS MS CP009528.1	Phosphatidylserine_decarboxylase_EC_4.1.1.65_	2
6666666_211948_2542	Central metabolism	Red	circle	Methanosarcina barkeri 227 227 CP009530.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211919_3821	Central metabolism	Red	circle	Methanosarcina vacuolata Z-761 Z-761 CP009520.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211943_3806	Central metabolism	Red	circle	Methanosarcina sp Kolksee Kolksee CP009524.1	3_5_cyclic_nucleotide_phosphodiesterase	2
6666666_210243_2494	Central metabolism	Red	circle	Methanosarcina sp 2.H.T.1A.62.H.T.1A.6 JJOY01	Iron_sulfur_binding_protein	1
6666666_210041_2030	Central metabolism	Red	circle	Methanosarcina sp 2.H.T.1A.32.H.T.1A.3 JJOX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_210117_2775	Central metabolism	Red	circle	Methanosarcina sp 2.H.T.1A.82.H.T.1A.8 JJOZ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_210200_2465	Central metabolism	Red	circle	Methanosarcina sp 2.H.T.1A.152.H.T.1A.15 JJOW01	predicted_protein	1
6666666_210035_715	Central metabolism	Red	circle	Methanosarcina sp 1.H.T.1A.11.H.T.1A.1 JJQY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_210132_814	Central metabolism	Red	circle	Methanosarcina sp 1.H.A.2.21.H.A.2.2 JJQL01	cell_surface_protein	1
6666666_210318_2548	Central metabolism	Red	circle	Methanosarcina sp 2.H.A.1B.42.H.A.1B.4 JJOV01	hypothetical_protein	1
6666666_211661_171	Central metabolism	Red	circle	Methanosarcina sp WWM596 WWM596 CP009503.1	Small_Subunit_Ribosomal_RNA_ssuRNA_SSU_rRNA	2
6666666_211678_165	Central metabolism	Red	circle	Methanosarcina sp WH1 WH1 CP009504.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211655_127	Central metabolism	Red	circle	Methanosarcina lacustris Z-7289 Z-7289 CP009515.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_211546_3678	Central metabolism	Red	circle	Methanosarcina sp MTP4 MTP4 CP009505.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_211962_100	Central metabolism	Red	circle	Methanomethylovorans hollandica DSM 15978 DSM 15978 CP003362.1	Monomethylamine_methyltransferase_corrinoid_protein	2
6666666_211618_1786	Central metabolism	Red	circle	Methanolobus psychrophilus R15 R15 CP003083.1	hypothetical_protein	2
6666666_211690_98	Central metabolism	Red	circle	Methanosalsum zhilinae DSM 4017 DSM 4017 CP002101.1	Serine_hydroxymethyltransferase_EC_2.1.2.1_	1
6666666_210162_1340	Central metabolism	Red	circle	Methanolobus tindarius DSM 2278DSM 2278 AZAJ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210164_2123	Central metabolism	Red	circle	Methanolobus sp T82-4 LSRV01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211538_1446	Central metabolism	Red	circle	Methanococcoides burtonii DSM 6242 DSM 6242 CP000300.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209953_534	Central metabolism	Red	circle	Methanococcoides methylutensDSM 2657 JRHO01	diguanylate_cyclase_phosphodiesterase_GGDEF___EAL_domains__with_PAS_PAC_sensor_s_	2
6666666_211693_1920	Central metabolism	Red	circle	Methanococcoides methylutens MM1 MM1 CP009518.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211945_2301	Central metabolism	Red	circle	Methanohalobium evestigatum Z-7303 Z-7303 CP002069.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210083_1803	Central metabolism	Red	circle	Methanohalophilus sp T328-1 LSRU01	Coenzyme_F420_0L_glutamate_ligase_	2
6666666_210464_1498	Central metabolism	Red	circle	Methanohalophilus sp DAL1 MAFX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	3
6666666_211545_1683	Central metabolism	Red	circle	Methanohalophilus mahii DSM 5219 DSM 5219 CP001994.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209920_1261	Central metabolism	Red	circle	Candidatus Methanoperedens nitroreducensANME-2d JMIY01	hypothetical_protein	2
6666666_210188_1391	Central metabolism	Red	circle	Candidatus Methanoperedens sp BLZ1 LKCM01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210156_1440	Central metabolism	Red	circle	Methanosarcinales archeaon 56_1174 LGFK01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210130_1050	Central metabolism	Red	circle	Euryarchaeota archaeon 55_53 LGEW01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210585_401	Central metabolism	Red	circle	Methermicoccus shengliensis DSM 18856DSM 18856 JONQ01	INTEGRAL_MEMBRANE_PROTEIN_Rhomboid_family_	2
6666666_211607_173	Central metabolism	Red	circle	Methanocella arvoryzae MRE50 MRE50 AM114193.2	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211635_2151	Central metabolism	Red	circle	Methanocella conradii HZ254 HZ254 CP003243.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211614_934	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Methanocella paludicola SANAE SANAE AP011532.1	hypothetical_protein	2
6666666_209979_1925	Central metabolism	Red	circle	Arc I group archaeon U1lsi0528_Bin089 LNGD01	hypothetical_protein	2
6666666_210498_619	Central metabolism	Red	circle	Arc I group archaeon B03fssc0709_Meth_Bin005 LNGE01	CRISPR_associated_protein_Cas5h_family	2
6666666_209947_828	Central metabolism	Red	circle	Arc I group archaeon B15fssc0709_Meth_Bin003 LNGF01	Ribonuclease_Z_EC_3.1.26.11_	2
6666666_210253_755	Central metabolism	Red	circle	Arc I group archaeon BMIXfssc0709_Meth_Bin006 LNJC01	SSU_ribosomal_protein_S15Ae_S8p_	2
6666666_210281_1354	Central metabolism	Red	circle	Arc I group archaeon ADurb1113_Bin01801 LNJD01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210136_644	Central metabolism	Red	circle	Arc I group archaeon ADurb1213_Bin02801 LNJE01	tRNA_Thr_GGT	2
6666666_210510_674	Central metabolism	Red	circle	Arc I group archaeon ADurb1013_Bin02101 LNJB01	hypothetical_protein	2
6666666_210140_1318	Central metabolism	Red	circle	Archaeon U1lsi0528_Bin055 LNGC01	hypothetical_protein	2
6666666_211562_385	Central metabolism	Red	circle	Methanopyrus kandleri AV19 AV19 AE009439.1	hypothetical_protein	2
6666666_210151_388	expansion	Gray	circle	Methanomicrobiales archaeon 53_19 LGHF01	hypothetical_protein	2
6666666_210004_828	Central metabolism	Red	circle	Methanomassiliicoccales archaeon RumEn M2 LJKL01	RNase_L_inhibitor	2
6666666_211682_230	Central metabolism	Red	circle	Candidatus Methanoplasma termitum MpT1 CP010070.1	no_similarity	2
6666666_212754_496	Central metabolism	Red	circle	Methanogenic archaeon ISO4-H5 ISO4-H5 CP014214.1	hypothetical_protein	2
6666666_211523_523	Central metabolism	Red	circle	Thermoplasmatales archaeon BRNA1 BRNA1 CP002916.1	NADH_ubiquinone_oxidoreductase_chain_M_EC_1.6.5.3_	2
6666666_211709_484	Central metabolism	Red	circle	Candidatus Methanomethylophilus alvus Mx1201 Mx1201 CP004049.1	Signal_peptidase_I_EC_3.4.21.89_	2
6666666_210014_528	Central metabolism	Red	circle	Methanoculleus sp CAG:1088 CBKQ01	Cobalt_precorrin_3b_C17_methyltransferase	2
6666666_210551_1013	Central metabolism	Red	circle	Candidatus Methanomethylophilus sp 1R261R26 LOPS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211554_1439	Central metabolism	Red	circle	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1 Issoire-Mx1 CP005934.1	Putative_virion_core_protein_lumpy_skin_disease_virus_	2
6666666_210525_2234	Central metabolism	Red	circle	Methanomassiliicoccus luminyensis B10B10 CAJE01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_209975_657	Central metabolism	Red	circle	Methanomicrobia archaeon DTU008 LFRW01	Replication_factor_C_large_subunit	2
6666666_210490_714	Central metabolism	Red	circle	Methanomassiliicoccales archaeon RumEn M1 LJKK01	Xanthine_guanine_phosphoribosyltransferase_EC_2.4.2.22_	1
6666666_209974_563	Central metabolism	Red	circle	Candidatus Bathyarchaeota archaeon B25 LUCC01	hypothetical_protein	2
6666666_210055_857	Central metabolism	Red	circle	Candidatus Bathyarchaeota archaeon B24 LUCB01	DNA_topoisomerase_I_EC_5.99.1.2_	2
6666666_210193_1364	Central metabolism	Red	circle	Halonotius sp J07HN6 ARQA01	hypothetical_protein	2
6666666_211641_1657	Central metabolism	Red	circle	Methanococcus voltae A3 A3 CP002057.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211651_1447	Central metabolism	Red	circle	Methanococcus vannielii SB SB CP000742.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211608_421	Central metabolism	Red	circle	Methanococcus maripaludis S2 S2 BX950229.1	37_dideoxy_D_threo_hepto_2_6_diulosonate_synthase_EC_4.2.3.__	3
6666666_211711_1454	Central metabolism	Red	circle	Methanococcus maripaludis C7 C7 CP000745.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211958_1278	Central metabolism	Red	circle	Methanococcus maripaludis C5 C5 CP000609.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211537_426	Central metabolism	Red	circle	Methanococcus maripaludis X1 X1 CP002913.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_210534_1095	Central metabolism	Red	circle	Methanotorris formicicus Mc-S-70Mc-S-70 AGJL01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211547_137	Central metabolism	Red	circle	Methanotorris igneus Kol 5 Kol 5 CP002737.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210278_606	Central metabolism	Red	circle	Methanothermococcus thermolithotrophicus DSM 2095DSM 2095 AQXV01	Uncharacterized_protein_MJ0981	2
6666666_211528_1264	Central metabolism	Red	circle	Methanococcus aeolicus Nankai-3 Nankai-3 CP000743.1	Phosphatidylserine_decarboxylase_EC_4.1.1.65_	2
6666666_211957_873	Central metabolism	Red	circle	Methanothermococcus okinawensis IH1 IH1 CP002792.1	LSU_ribosomal_protein_L32e	2
6666666_210061_1141	Central metabolism	Red	circle	Methanobacteriaceae archaeon 41_258 LGEU01	hypothetical_protein	1
6666666_211625_1204	Central metabolism	Red	circle	Methanothermus fervidus DSM 2088 DSM 2088 CP002278.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211591_1568	Central metabolism	Red	circle	Methanobacterium formicicum BRM9 CP006933.1	hypothetical_protein	2
6666666_211535_790	Central metabolism	Red	circle	Methanobacterium formicicum - LN734822.1	Probable_transmembrane_protein	2
6666666_210504_93	Central metabolism	Red	circle	Methanobacterium formicicum JCM 10132JCM 10132 BBES01	hypothetical_protein	2
6666666_210518_492	Central metabolism	Red	circle	Methanobacterium sp 42_16 LGGL01	UDP_glucose_4_epimerase_EC_5.1.3.2_	2
6666666_211592_2223	Central metabolism	Red	circle	Methanobacterium formicicum - LN515531.1	Energy_conserving_hydrogenase_Eha_transmembrane_protein_E	2
6666666_211551_673	Central metabolism	Red	circle	Methanobacterium sp MB1 - HG425166.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210369_346	Central metabolism	Red	circle	Methanobacterium sp Maddingley MBC34 AMGN01	Carbamoyl_phosphate_synthase_large_chain_EC_6.3.5.5_	1
6666666_209967_255	Central metabolism	Red	circle	Methanobacterium formicicum DSM 3637DSM 3637 AMPO01	Acetoacetyl_CoA_synthetase_EC_6.2.1.16____Long_chain_fatty_acid__CoA_ligase__EC_6.2.1.3_	1
6666666_211601_1978	Central metabolism	Red	circle	Methanobacterium lacus AL-21 CP002551.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_210377_525	Central metabolism	Red	circle	Methanobacterium sp SMA-27SMA-27 JQLY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
