id,identity_to_query
UniRef100_A0A2E2QYR7/6-240,0.125
UniRef100_A0A061GN99/280-503,0.129
UniRef100_UPI000C052ED5/333-555,0.129
UniRef100_X1EIA3/105-234,0.129
UniRef100_M8D095/265-507,0.129
UniRef100_UPI0005ED1B9C/281-518,0.129
UniRef100_A0A2K1Z3Q5/273-511,0.129
UniRef100_UPI000DF4CAD9/269-508,0.129
UniRef100_A0A1F6HPN0/67-222,0.129
UniRef100_X1CGN3/1-151,0.129
UniRef100_B5GXT4/3-134,0.129
UniRef100_J7GYQ8/2-236,0.129
UniRef100_A0A1Z8V234/1-230,0.129
UniRef100_A0A2V8GA81/1-146,0.129
UniRef100_A0A1V6EDP8/2-144,0.129
UniRef100_A0A1B6D301/1-134,0.129
UniRef100_C2G0W0/1-232,0.129
UniRef100_Q1PLA2/4-229,0.129
UniRef100_UPI0005CBA12C/2-152,0.129
UniRef100_A0A382JQK9/1-142,0.129
UniRef100_A0A1U1FL78/1-133,0.129
UniRef100_X0S3K1/4-127,0.129
UniRef100_A0A2K2C486/331-555,0.133
UniRef100_UPI000D18A066/330-554,0.133
UniRef100_UPI00057B496C/330-554,0.133
UniRef100_X1E6P7/96-237,0.133
UniRef100_A0A2W5F8D4/2-175,0.133
UniRef100_A0A2E8ADC4/3-150,0.133
UniRef100_A0A1Q9MUV4/13-205,0.133
UniRef100_A0A382X9N5/3-154,0.133
UniRef100_M7PN73/3-128,0.133
UniRef100_A0A335EYU6/2-143,0.133
UniRef100_T0TDX9/2-145,0.133
UniRef100_A0A1Z8LQN5/1-233,0.133
UniRef100_A0A1G9WV95/1-232,0.133
UniRef100_A0A353EEG7/10-137,0.133
UniRef100_A0A2E5I9E7/2-170,0.133
UniRef100_X1V903/1-143,0.133
UniRef100_A0A2V7HN46/1-141,0.133
UniRef100_R5TAT7/2-131,0.133
UniRef100_UPI0005170623/1-145,0.133
UniRef100_A0A257YEA2/2-132,0.133
UniRef100_A0A2E1MBA8/4-234,0.133
UniRef100_F2I2R4/8-214,0.133
UniRef100_A0A352TAM7/1-141,0.133
UniRef100_A0A350U061/1-123,0.133
UniRef100_A0A382V9W7/2-149,0.133
UniRef100_A2CB98/3-236,0.133
UniRef100_A0A382M7Q2/1-123,0.133
UniRef100_UPI0003C102D1/86-224,0.138
UniRef100_A0A0W0PXK5/3-143,0.138
UniRef100_A0A2N9HRU6/24-271,0.138
UniRef100_A0A1V5F1C9/2-175,0.138
UniRef100_UPI000C04738A/276-517,0.138
UniRef100_A0A2E5WNU0/9-249,0.138
UniRef100_UPI0009F50AD8/1-156,0.138
UniRef100_UPI0009AAE8D1/5-181,0.138
UniRef100_A0A1U9RRG4/2-229,0.138
UniRef100_A0A382JLC2/1-138,0.138
UniRef100_A0A2K8KDY2/2-230,0.138
UniRef100_X0RFW1/1-148,0.138
UniRef100_UPI0002555FCC/1-172,0.138
UniRef100_K2BBG3/1-238,0.138
UniRef100_A0A2Z2L9J9/1-232,0.138
UniRef100_UPI00094C70CF/27-222,0.138
UniRef100_A0A2H9LY03/1-133,0.138
UniRef100_A0A1F6HPG6/1-153,0.138
UniRef100_A0A285PJS6/1-233,0.138
UniRef100_X0RLU8/3-148,0.138
UniRef100_A0A2S9SWJ1/2-158,0.138
UniRef100_A0A2E1P6R0/1-234,0.138
UniRef100_A0A379BG29/3-159,0.138
UniRef100_A0A1V5JI16/2-135,0.138
UniRef100_A0A370WNQ2/2-152,0.138
UniRef100_X1V9Y1/1-132,0.138
UniRef100_T2QYF8/3-134,0.142
UniRef100_UPI000E1DCC14/333-557,0.142
UniRef100_A0A1X2IED2/287-509,0.142
UniRef100_V6RXR7/1-176,0.142
UniRef100_A0A2S6USN7/4-233,0.142
UniRef100_A0A2G6NPB2/2-169,0.142
UniRef100_I3S3Z5/2-216,0.142
UniRef100_UPI0005C5323C/1-155,0.142
UniRef100_J3YQ07/3-231,0.142
UniRef100_A0A0B0HIH0/2-155,0.142
UniRef100_A0A354HG04/1-133,0.142
UniRef100_K7SEP2/1-232,0.142
UniRef100_A0A1M7F6B6/1-232,0.142
UniRef100_A0A383A2K2/2-133,0.142
UniRef100_A0A2S8BFW0/7-136,0.142
UniRef100_UPI000C82EBF6/2-232,0.142
UniRef100_M6RAA1/4-148,0.142
UniRef100_X1ABU7/1-137,0.142
UniRef100_A0A0M9E867/2-172,0.142
UniRef100_A0A381XLN1/1-182,0.142
UniRef100_A0A1S2A006/1-234,0.142
UniRef100_A0A2X1K834/1-146,0.142
UniRef100_F0ILQ8/1-121,0.142
UniRef100_A0A1G0GGJ8/1-232,0.142
UniRef100_A0A2D9Z3S7/1-231,0.142
UniRef100_A0A1F3LDS2/2-232,0.142
UniRef100_U1P9A4/3-132,0.142
UniRef100_T1D8R0/6-135,0.142
UniRef100_A0A2D9TU09/11-232,0.142
UniRef100_UPI000C719F21/230-396,0.146
UniRef100_K2CLC6/229-378,0.146
UniRef100_A0A1I7Y2U3/1-149,0.146
UniRef100_A0A2N6FQL2/1-233,0.146
UniRef100_A0A0E1YGS1/1-176,0.146
UniRef100_A0A1W6BCB0/1-237,0.146
UniRef100_A0A2A5HCF3/3-230,0.146
UniRef100_A0A0X8X245/1-180,0.146
UniRef100_A0A358QP64/1-173,0.146
UniRef100_A0A099VYG1/1-166,0.146
UniRef100_A0A354KG64/1-151,0.146
UniRef100_UPI00094CB6C1/1-158,0.146
UniRef100_A0A2G6DJG5/3-155,0.146
UniRef100_A0A358JMZ9/1-153,0.146
UniRef100_A0A0A2BFX4/2-254,0.146
UniRef100_A0A382D3S2/1-149,0.146
UniRef100_A0A355YLQ7/1-133,0.146
UniRef100_A0A354FW62/1-148,0.146
UniRef100_A0A0G0GYX2/1-129,0.146
UniRef100_A0A354GZE7/2-152,0.146
UniRef100_A0A1G0I2P3/1-232,0.146
UniRef100_A0A1Y5H2R8/2-232,0.146
UniRef100_A0A382UXV8/15-152,0.146
UniRef100_A0A2E7RME9/1-231,0.146
UniRef100_A0A368C2M0/1-231,0.146
UniRef100_A0A2R6LI51/1-159,0.146
UniRef100_A0A1G0GB11/1-232,0.146
UniRef100_A0A2E6YB25/1-231,0.146
UniRef100_A0A2W5CK56/4-132,0.146
UniRef100_A0A1G0G432/1-232,0.146
UniRef100_A0A1R3VU05/1-233,0.146
UniRef100_Q7U923/1-231,0.146
UniRef100_A0A2E4KWP9/2-233,0.146
UniRef100_A0A382R112/5-160,0.146
UniRef100_A0A383BHR8/5-183,0.146
UniRef100_A0A346E0I2/1-238,0.15
UniRef100_A0A356PWB1/1-176,0.15
UniRef100_A0A2V2N3Q3/3-228,0.15
UniRef100_W4VFE9/4-168,0.15
UniRef100_A0A0K9QYR3/236-475,0.15
UniRef100_A0A0F2NZC5/3-230,0.15
UniRef100_X1D6S2/3-202,0.15
UniRef100_A0A2N1YDT9/1-231,0.15
UniRef100_A0A2N2PTF3/1-169,0.15
UniRef100_A0A1Z8SL72/7-243,0.15
UniRef100_A0A1Z8SL58/7-257,0.15
UniRef100_A0A257WDZ9/1-164,0.15
UniRef100_A0A2A4U797/1-158,0.15
UniRef100_A0A2D6AFQ2/1-176,0.15
UniRef100_A0A1X7H4E9/2-232,0.15
UniRef100_W7WTK8/1-162,0.15
UniRef100_A0A2M7Z043/1-133,0.15
UniRef100_A0A2T2RK20/1-164,0.15
UniRef100_A0A2M7K2U7/3-181,0.15
UniRef100_A0A2E5R6R6/1-235,0.15
UniRef100_A0A254VRV2/1-140,0.15
UniRef100_A0A344W8E5/1-231,0.15
UniRef100_UPI0004AEFA89/3-253,0.15
UniRef100_K6ZXG0/3-232,0.15
UniRef100_W1EID1/1-132,0.15
UniRef100_X1FX81/3-158,0.15
UniRef100_A0A382MFK8/1-163,0.15
UniRef100_A0A378A057/1-129,0.15
UniRef100_A0A382XH92/1-175,0.15
UniRef100_A0A1V5VU34/1-151,0.15
UniRef100_UPI000E6F4A0F/292-557,0.154
UniRef100_UPI000E6F613D/292-557,0.154
UniRef100_A0A2T2TLM8/1-133,0.154
UniRef100_A0A1G1XZQ4/1-241,0.154
UniRef100_W7YR53/3-209,0.154
UniRef100_A0A2E5GWT7/5-233,0.154
UniRef100_K9FPM9/1-257,0.154
UniRef100_A0A1V5SZC6/3-196,0.154
UniRef100_A0A0S4Q8B0/1-183,0.154
UniRef100_A0A2D7CMY8/6-231,0.154
UniRef100_S2EKJ2/2-197,0.154
UniRef100_A0A1V5K8X2/1-163,0.154
UniRef100_E2LMW7/36-275,0.154
UniRef100_A0A2E3DSQ7/4-239,0.154
UniRef100_A0A0F9GPX2/2-168,0.154
UniRef100_H7F955/1-158,0.154
UniRef100_A0A382PTI1/1-162,0.154
UniRef100_A0A351MV51/2-149,0.154
UniRef100_A0A1V5JM51/1-169,0.154
UniRef100_A0A350MUZ3/1-142,0.154
UniRef100_I3U894/11-164,0.154
UniRef100_A0A2D7GCG9/1-148,0.154
UniRef100_X1V765/1-166,0.154
UniRef100_M6VVV7/2-182,0.154
UniRef100_A0A357Z7K3/1-234,0.154
UniRef100_A0A380GZI6/1-156,0.154
UniRef100_A0A0F9CGB4/1-133,0.154
UniRef100_A0A348XPT4/3-133,0.154
UniRef100_J4SIU0/1-140,0.154
UniRef100_A0A256JPM4/1-161,0.154
UniRef100_UPI0001793A2F/29-218,0.154
UniRef100_X8FG09/1-147,0.154
UniRef100_A0A258TSS7/1-234,0.154
UniRef100_A0A0A8UNB4/1-231,0.154
UniRef100_W4TMI6/2-146,0.154
UniRef100_UPI000255FF7C/29-218,0.154
UniRef100_A0A1Z8STS9/1-230,0.154
UniRef100_A0A355EJ04/1-142,0.154
UniRef100_A0A2D7RRE0/16-256,0.154
UniRef100_A0A133UZ89/2-124,0.154
UniRef100_A0A0F9LYC0/5-246,0.154
UniRef100_A0A2P5QHX6/235-557,0.158
UniRef100_F5ISN4/3-225,0.158
UniRef100_M1WQT9/2-198,0.158
UniRef100_A0A2E0D1B7/2-195,0.158
UniRef100_A0A2E4Y2K1/1-231,0.158
UniRef100_A0A382U4F7/1-190,0.158
UniRef100_A0A2E6JFJ5/2-239,0.158
UniRef100_K6IGV1/3-196,0.158
UniRef100_A0A357ZJM9/221-471,0.158
UniRef100_A0A1T5FB13/5-233,0.158
UniRef100_A0A2D9LNQ1/1-187,0.158
UniRef100_X0RY34/1-160,0.158
UniRef100_A0A2E0VCP0/1-237,0.158
UniRef100_A0A2S6SCJ6/3-231,0.158
UniRef100_UPI0003B3E93C/1-168,0.158
UniRef100_UPI00094DCCE0/1-230,0.158
UniRef100_A0A317FRE7/1-231,0.158
UniRef100_A0A2E7NAM8/5-239,0.158
UniRef100_A0A2V7XKG3/1-165,0.158
UniRef100_A0A349DC32/1-168,0.158
UniRef100_A0A2V1AXN0/256-516,0.158
UniRef100_F5S7F3/1-157,0.158
UniRef100_A0A358TY06/1-166,0.158
UniRef100_A0A351AZN8/1-171,0.158
UniRef100_X8DWA0/4-156,0.158
UniRef100_A0A1W1DED9/1-155,0.158
UniRef100_A0A2G2YCV6/250-521,0.158
UniRef100_B7DMK1/1-165,0.158
UniRef100_X1HTB4/1-163,0.158
UniRef100_A0A149SIQ2/1-145,0.158
UniRef100_A0A101HTN6/1-140,0.158
UniRef100_A0A066WRX8/1-232,0.158
UniRef100_A0A2G2R0F6/1-140,0.158
UniRef100_A0A351FB09/1-178,0.158
UniRef100_A0A0H6WH76/1-162,0.158
UniRef100_A0A0H6K3Y8/1-152,0.158
UniRef100_A0A0H6QVA4/1-151,0.158
UniRef100_A0A379T9T2/1-157,0.158
UniRef100_UPI000BAAA973/1-232,0.158
UniRef100_A0A358L9U7/1-131,0.158
UniRef100_A0A2U9UP76/1-179,0.158
UniRef100_A0A2E4D4S2/37-256,0.158
UniRef100_UPI00034AB8D1/2-232,0.158
UniRef100_A0A2E0MYN7/1-231,0.158
UniRef100_A0A2V7MIX0/217-367,0.158
UniRef100_T1BEK2/1-159,0.158
UniRef100_A0A376FKG7/1-128,0.158
UniRef100_T0Z934/1-146,0.158
UniRef100_A0A2M8TZ86/30-154,0.158
UniRef100_A0A0H3YYW8/10-161,0.158
UniRef100_A0A362XEL4/2-140,0.158
UniRef100_UPI000E1EFA21/1-133,0.163
UniRef100_B6K508/228-532,0.163
UniRef100_A0A0B0MR62/179-473,0.163
UniRef100_UPI000B8D12EE/1-263,0.163
UniRef100_A1ZI94/1-232,0.163
UniRef100_UPI000824F74A/1-232,0.163
UniRef100_A8ESL3/1-232,0.163
UniRef100_A0A0D9Z4V5/273-551,0.163
UniRef100_A0A251U976/110-397,0.163
UniRef100_UPI0009353524/1-233,0.163
UniRef100_A0A2D7C483/1-235,0.163
UniRef100_A0A382ZN19/3-187,0.163
UniRef100_A0A1L4D2Z7/2-232,0.163
UniRef100_A0A1Z9UYR3/4-232,0.163
UniRef100_A0A2G4YTQ9/1-233,0.163
UniRef100_A0A2E8RF70/2-233,0.163
UniRef100_A0A2J1DSI2/2-180,0.163
UniRef100_A0A2A2Q0U3/1-169,0.163
UniRef100_A0A2E6RQ77/4-233,0.163
UniRef100_A0A1Z9T540/1-247,0.163
UniRef100_A0A327T038/1-239,0.163
UniRef100_A0A150FVH5/270-536,0.163
UniRef100_A0A2E1MGA1/3-241,0.163
UniRef100_A0A381XQE6/1-179,0.163
UniRef100_S2E4B1/2-197,0.163
UniRef100_A0A2E3C884/1-234,0.163
UniRef100_A0A0F9A4E7/3-188,0.163
UniRef100_A0A1Z9FQI9/1-229,0.163
UniRef100_A0A2E9ECB1/1-185,0.163
UniRef100_A0A383BUC9/2-178,0.163
UniRef100_A0A352B920/1-176,0.163
UniRef100_N1U730/2-186,0.163
UniRef100_A0A351LZ95/3-160,0.163
UniRef100_A0A351KC36/3-156,0.163
UniRef100_A0A2D6A0J5/1-230,0.163
UniRef100_A0A1G2ZIL9/4-151,0.163
UniRef100_A0A350EPH1/1-143,0.163
UniRef100_A0A2G3B6Z9/11-282,0.163
UniRef100_A0A1M5NZX1/1-232,0.163
UniRef100_A0A0S8CHJ1/3-165,0.163
UniRef100_A0A2D8JJJ4/1-232,0.163
UniRef100_UPI0005A26835/1-179,0.163
UniRef100_A0A2V8DX61/1-145,0.163
UniRef100_A0A2E6UP27/1-234,0.163
UniRef100_A0A1Y5TVE2/1-236,0.163
UniRef100_UPI000E0B4C01/1-179,0.163
UniRef100_UPI00082C8934/1-232,0.163
UniRef100_UPI00048BAEAF/1-232,0.163
UniRef100_A0A2V8J701/1-128,0.163
UniRef100_A0A1Z9FQY4/1-235,0.163
UniRef100_A0A2D5RTE8/2-232,0.163
UniRef100_A0A379TQM2/1-129,0.163
UniRef100_UPI0009F276D8/2-133,0.163
UniRef100_A0A2N7GHS4/2-224,0.163
UniRef100_A0A328FBL3/218-520,0.167
UniRef100_A0A2D4BM05/233-542,0.167
UniRef100_A0A1Y1W012/233-542,0.167
UniRef100_B8LDL7/245-558,0.167
UniRef100_A0A016BQS0/2-215,0.167
UniRef100_A0A1W1CP37/5-169,0.167
UniRef100_E6L2U5/1-232,0.167
UniRef100_UPI00062E7E5B/1-233,0.167
UniRef100_A0A2E4WGN6/4-243,0.167
UniRef100_A0A0E0GJX0/256-523,0.167
UniRef100_A0A0F9IAJ8/2-221,0.167
UniRef100_A0A382Y0X1/2-186,0.167
UniRef100_A0A2E5UK53/4-233,0.167
UniRef100_A0A0J8S3Z6/1-257,0.167
UniRef100_A0A2E9C5B1/1-232,0.167
UniRef100_S0J7Y1/4-230,0.167
UniRef100_A0A2E4I307/5-233,0.167
UniRef100_A0A1E3GWK0/1-182,0.167
UniRef100_A0A349KWP0/1-174,0.167
UniRef100_A0A2M7E527/1-177,0.167
UniRef100_A0A1Z9RYY6/1-238,0.167
UniRef100_A0A353YGM0/1-180,0.167
UniRef100_X0S0R7/1-165,0.167
UniRef100_A0A1Z8W5T3/8-256,0.167
UniRef100_A0A1F8VG74/26-267,0.167
UniRef100_UPI0003A27FE3/1-183,0.167
UniRef100_A0A2E5UDS1/2-234,0.167
UniRef100_A0A381YHV0/1-172,0.167
UniRef100_A0A2P5M345/1-161,0.167
UniRef100_A0A1F6QTQ0/1-240,0.167
UniRef100_A0A1Z9USU0/1-234,0.167
UniRef100_A0A1Q2YV72/27-191,0.167
UniRef100_A0A358Y521/3-231,0.167
UniRef100_A0A087BA62/3-173,0.167
UniRef100_C5T8X7/2-174,0.167
UniRef100_Q6SHC0/6-251,0.167
UniRef100_A0A1Z9PX82/3-232,0.167
UniRef100_A0A2G2G127/1-235,0.167
UniRef100_UPI00084BCC6F/3-191,0.167
UniRef100_A0A1V5UB37/4-161,0.167
UniRef100_A0A0H4VM23/1-241,0.167
UniRef100_A0A2A4PLW4/2-232,0.167
UniRef100_A0A2S8MAV5/1-167,0.167
UniRef100_A0A2D7LM90/2-249,0.167
UniRef100_X8AU76/2-166,0.167
UniRef100_A0A382HLS9/2-193,0.167
UniRef100_A0A2E6RRP4/2-243,0.167
UniRef100_A0A1Z8UUS8/2-249,0.167
UniRef100_UPI0009B75A3D/4-186,0.167
UniRef100_A0A2E3AJM4/2-229,0.167
UniRef100_Q1N2Y7/2-201,0.167
UniRef100_A0A1J0A9H4/2-155,0.167
UniRef100_A0A0H8QB84/2-178,0.167
UniRef100_A0A381YIZ7/1-164,0.167
UniRef100_A0A2E8RGL0/1-232,0.167
UniRef100_A0A382MCF8/4-200,0.167
UniRef100_A0A1W6BC65/4-234,0.167
UniRef100_UPI000262CC5D/8-233,0.167
UniRef100_UPI0006BA45B0/1-179,0.167
UniRef100_UPI00059F316D/1-179,0.167
UniRef100_A0A355M3C3/1-241,0.167
UniRef100_D0DQS4/1-179,0.167
UniRef100_A0A2M8LKH9/1-176,0.167
UniRef100_UPI0005FBA24C/1-179,0.167
UniRef100_UPI0009E9242B/1-233,0.167
UniRef100_UPI000CD9A7DE/3-234,0.167
UniRef100_A0A2W5MHE6/1-142,0.167
UniRef100_C0WXE8/1-179,0.167
UniRef100_UPI000E471234/1-179,0.167
UniRef100_A0A2E1MNS4/1-231,0.167
UniRef100_A0A2V9BJ01/9-173,0.167
UniRef100_A0A099ULT8/1-134,0.167
UniRef100_A0A2V8GIP3/1-157,0.167
UniRef100_S0FRY2/216-522,0.171
UniRef100_UPI00040B4669/216-522,0.171
UniRef100_A0A0D2UWF6/260-539,0.171
UniRef100_UPI000370CF9D/218-520,0.171
UniRef100_UPI000555EFF6/217-519,0.171
UniRef100_A0A0G4GMX5/248-550,0.171
UniRef100_A0A348USM5/217-519,0.171
UniRef100_A0A357YSB6/217-519,0.171
UniRef100_I5AYU9/217-519,0.171
UniRef100_A0A0W0CJC5/236-538,0.171
UniRef100_Q6FX00/236-538,0.171
UniRef100_A0A0P1ACP9/229-538,0.171
UniRef100_A9UYA3/229-529,0.171
UniRef100_A0A224AL89/2-239,0.171
UniRef100_A0A1G4K694/235-537,0.171
UniRef100_A0A0M9WFH0/230-535,0.171
UniRef100_UPI0009BCA120/275-559,0.171
UniRef100_A0A103SYH2/274-531,0.171
UniRef100_A0A2K3KZ38/2-279,0.171
UniRef100_A0A2P4X0X2/229-535,0.171
UniRef100_A0A1R1PTW3/235-538,0.171
UniRef100_K0SBJ6/250-563,0.171
UniRef100_UPI000B8B733C/280-572,0.171
UniRef100_A0A0D9VS29/268-540,0.171
UniRef100_A0A1C0WA78/2-215,0.171
UniRef100_A0A015TZU6/2-215,0.171
UniRef100_A0A0G9K7A8/1-231,0.171
UniRef100_E6L2W8/1-231,0.171
UniRef100_A0A2W5JSX4/1-231,0.171
UniRef100_A8ESN1/2-232,0.171
UniRef100_A0A2N6CBF2/221-482,0.171
UniRef100_A0A1Z8VU24/6-241,0.171
UniRef100_A0A363D836/1-231,0.171
UniRef100_A0A094JHM6/1-195,0.171
UniRef100_A0A2S5EXN2/3-186,0.171
UniRef100_A0A0F0CV00/1-240,0.171
UniRef100_UPI000DEFEEE1/1-232,0.171
UniRef100_A0A382UPF0/4-234,0.171
UniRef100_A0A2E0MF55/3-231,0.171
UniRef100_A0A2E6GVZ5/3-231,0.171
UniRef100_A0A1Z8V1W3/4-235,0.171
UniRef100_A0A1Z9GRL5/7-244,0.171
UniRef100_A0A2A5EHP5/1-232,0.171
UniRef100_X0YZS2/9-199,0.171
UniRef100_K1XU11/4-229,0.171
UniRef100_S5SPZ4/3-245,0.171
UniRef100_X0VGL7/1-200,0.171
UniRef100_A0A0K9NA75/5-231,0.171
UniRef100_A0A1F8TZ47/1-192,0.171
UniRef100_A0A1F3VLN7/1-251,0.171
UniRef100_UPI00083B2C95/2-233,0.171
UniRef100_C0QA24/2-229,0.171
UniRef100_A0A0W0VW72/6-249,0.171
UniRef100_A0A2D6NED9/1-241,0.171
UniRef100_UPI0009DEFF38/1-243,0.171
UniRef100_X1P8H9/5-192,0.171
UniRef100_A0A318D1E4/1-231,0.171
UniRef100_A0A1Z8SAG2/1-232,0.171
UniRef100_A0A357CUL3/1-194,0.171
UniRef100_A0A1C2FW92/1-233,0.171
UniRef100_A0A0A8IA97/1-233,0.171
UniRef100_A0A1F6YTY6/1-237,0.171
UniRef100_A0A179I0M7/224-457,0.171
UniRef100_A0A383ADH3/2-202,0.171
UniRef100_A0A382VBJ0/4-232,0.171
UniRef100_A0A2E6T9B7/3-235,0.171
UniRef100_A0A2W4MMM9/3-182,0.171
UniRef100_A0A2A4YXN5/2-230,0.171
UniRef100_UPI0009DE7222/1-179,0.171
UniRef100_A0A0F8ZH17/4-222,0.171
UniRef100_A0A2W4N8F2/2-157,0.171
UniRef100_S5R019/2-237,0.171
UniRef100_A0A2E1PE44/3-233,0.171
UniRef100_A0A0F9PTM3/3-204,0.171
UniRef100_F2I248/4-229,0.171
UniRef100_A0A1F3JQB7/3-225,0.171
UniRef100_A0A2D5QGQ2/1-245,0.171
UniRef100_A0A377B8X5/1-172,0.171
UniRef100_W1FQ95/1-169,0.171
UniRef100_UPI0009B6D908/1-232,0.171
UniRef100_A0A2W5CMC7/1-151,0.171
UniRef100_A0A2E2SDX0/1-233,0.171
UniRef100_UPI0005CF9D26/15-192,0.171
UniRef100_A0A192IM81/1-234,0.171
UniRef100_A0A1Q4VME4/16-254,0.171
UniRef100_UPI000833CEFF/5-133,0.171
UniRef100_A0A2T4RNM1/2-139,0.171
UniRef100_UPI000E6F7424/269-571,0.175
UniRef100_UPI000E6F9F52/269-571,0.175
UniRef100_A0A0D3BZU4/272-574,0.175
UniRef100_UPI000A29B1EC/280-582,0.175
UniRef100_UPI000A29B231/279-581,0.175
UniRef100_D7MEL3/280-582,0.175
UniRef100_A0A0B2PXT3/266-568,0.175
UniRef100_V4LVD1/281-583,0.175
UniRef100_A0A0F2R0M3/215-513,0.175
UniRef100_U5DBQ7/269-571,0.175
UniRef100_A0A2K2VQ76/215-513,0.175
UniRef100_A0A1W9WRN0/216-515,0.175
UniRef100_UPI0007885C6E/281-583,0.175
UniRef100_A0A2C9W732/274-567,0.175
UniRef100_A0A2C9W742/275-568,0.175
UniRef100_O94303/228-531,0.175
UniRef100_A0A165A8W7/231-536,0.175
UniRef100_UPI000DE5A8CF/2-239,0.175
UniRef100_A0A0U1LNR0/224-529,0.175
UniRef100_UPI000CD18AC8/1-240,0.175
UniRef100_E3RWL5/231-535,0.175
UniRef100_A0A0B1PC64/228-530,0.175
UniRef100_A0A0C7MXQ2/235-537,0.175
UniRef100_A0A1J9PMX6/230-535,0.175
UniRef100_A0A1B7P838/230-535,0.175
UniRef100_A0A2G3C2N3/609-899,0.175
UniRef100_A0A1Q2YI89/241-543,0.175
UniRef100_W6PZQ9/230-535,0.175
UniRef100_A0A0G4PT15/230-535,0.175
UniRef100_A0A1V6Q9N3/230-535,0.175
UniRef100_A0A1V6NCT2/230-535,0.175
UniRef100_A0A101MEW9/230-535,0.175
UniRef100_A0A1V6TM87/230-536,0.175
UniRef100_A0A0A2IL57/241-546,0.175
